file,gestures_inside,gestures_outside,window_time_ms,speech_time_ms,density_inside_per_sec,density_outside_per_sec
GH001,32,14,114000,323935,0.281,0.067
GH002,28,16,62000,136539,0.452,0.215
GH003,46,24,131757,379994,0.349,0.097
GH004,31,37,52000,214536,0.596,0.228
GH005,18,13,46000,95967,0.391,0.26
GH006,30,3,78000,145915,0.385,0.044
GH007,34,48,68000,238192,0.5,0.282
GH008,79,54,164000,387771,0.482,0.241
GH009,39,80,81000,371554,0.481,0.275
GH010,76,60,153000,406356,0.497,0.237
GH011,50,25,139000,328004,0.36,0.132
